value,combined_count,adarsh_count,combined_lines,adarsh_lines
1.0,1,1,"5","5"
1.1,3,3,"34 136 162","34 136 162"
1.2,7,7,"199 199 456 735 1151 1526 1807","199 199 456 735 1140 1515 1802"
1.3,1,1,"735","735"
1.4,1,1,"1628","1629"
1.5,11,11,"15 170 199 199 447 447 451 451 637 644 1628","15 170 199 199 447 447 451 451 637 644 1629"
1.6,18,18,"326 604 628 637 645 660 661 689 689 689 689 717 735 735 735 1649 1651 1653","326 604 628 637 645 660 661 689 689 689 689 717 735 735 735 1650 1652 1654"
1.8,10,10,"447 447 451 451 627 628 1153 1628 1628 1647","447 447 451 451 627 628 1142 1629 1629 1648"
102,1,1,"199","199"
106,3,6,"1520 1520 1520","1509 1509 1509 1831 1831 1831"
109,5,5,"205 363 508 692 2107","205 363 1081 1081 2128"
110,3,11,"41 522 522","41 517 522 522 558 570 570 735 1081 1081 2132"
111,7,7,"205 205 205 220 363 363 363","205 205 205 220 363 363 363"
112,2,2,"1628 1647","1629 1648"
113,2,2,"205 363","205 363"
116,2,2,"205 363","205 363"
118,2,2,"205 363","205 363"
119,2,2,"205 363","205 363"
120,5,6,"205 363 1647 2229 2231","205 363 1648 1705 2250 2252"
124,1,1,"737","737"
125,2,2,"428 428","428 428"
128,4,4,"205 205 363 363","205 205 363 363"
131,2,2,"205 363","205 363"
132,1,1,"199","199"
134,1,1,"689","689"
136,2,2,"205 363","205 363"
138,2,2,"205 363","205 363"
139,4,4,"205 205 363 363","205 205 363 363"
140,1,1,"1203","1192"
142,6,4,"205 363 508 692 1653 2107","205 363 1654 2128"
143,2,2,"205 363","205 363"
144,2,2,"205 363","205 363"
148,2,2,"205 363","205 363"
149,7,6,"205 363 638 1085 1685 1685 1709","205 363 638 1686 1686 1705"
150,3,3,"689 1628 1871","689 1629 1892"
153,1,1,"199","199"
156,15,8,"205 363 508 692 1080 1086 1087 1191 1191 1513 1516 1517 1521 1521 2107","205 363 1180 1180 1502 1505 1506 2128"
158,4,1,"508 692 1086 2107","2128"
159,3,3,"199 205 363","199 205 363"
160,1,1,"737","737"
161,2,2,"205 363","205 363"
162,1,1,"199","199"
163,2,2,"205 363","205 363"
167,2,2,"205 363","205 363"
170,2,2,"205 363","205 363"
176,4,4,"205 363 1327 1327","205 363 1316 1316"
178,1,1,"1653","1654"
179,5,5,"205 205 363 363 747","205 205 363 363 747"
180,10,10,"193 193 193 199 199 205 604 689 1224 1237","193 193 193 199 199 205 604 689 1213 1226"
185,2,2,"205 363","205 363"
186,1,1,"689","689"
188,4,4,"205 205 363 363","205 205 363 363"
192,2,2,"199 199","199 199"
197,4,3,"579 753 1085 1705","579 753 1705"
198,14,6,"508 508 689 692 692 704 1080 1088 1088 1089 1191 1515 2107 2107","689 704 1180 1504 2128 2128"
199,2,2,"392 638","392 638"
2.0,1,1,"735","735"
2.1,1,1,"1140","1129"
2.3,2,2,"661 735","661 735"
2.4,2,2,"199 199","199 199"
2.5,4,4,"10 199 735 1350","10 199 735 1339"
2.8,5,5,"447 447 451 451 1628","447 447 451 451 1629"
200,23,21,"17 96 98 109 109 138 139 139 199 579 635 761 1245 1248 1653 1679 1679 1706 1958 2019 2263 2287 2303","17 96 98 109 109 138 139 139 199 579 761 1234 1237 1654 1680 1680 1979 2040 2284 2308 2324"
201,3,3,"199 205 363","199 205 363"
203,1,1,"199","199"
204,2,2,"205 363","205 363"
205,1,1,"199","199"
207,1,1,"199","199"
210,5,3,"589 628 634 684 689","589 628 689"
211,3,1,"628 634 684","628"
212,6,3,"628 634 635 684 1982 1989","628 2003 2010"
213,6,3,"628 634 635 684 1982 1989","628 2003 2010"
214,3,1,"628 634 684","628"
218,4,4,"205 205 363 363","205 205 363 363"
219,6,3,"205 363 508 692 1089 2107","205 363 2128"
220,3,3,"1203 1238 1246","1192 1227 1235"
221,2,2,"205 363","205 363"
222,1,1,"158","158"
229,3,2,"205 363 1085","205 363"
233,2,2,"205 363","205 363"
234,5,1,"535 536 559 1080 2111","535"
235,1,3,"199","199 1081 1081"
237,2,2,"205 363","205 363"
239,2,2,"205 363","205 363"
240,2,2,"199 199","199 199"
242,2,2,"205 363","205 363"
244,1,1,"689","689"
247,2,2,"205 363","205 363"
249,3,3,"205 363 638","205 363 638"
